"地点名称","楼盘名称","地址","纬度","经度"
"匯璽 3期 匯璽ll 3B座 高層 E室",NA,NA,NA,NA
"海韻花園 2座 高層 D室","Rhine Garden Block 2","Rhine Garden Block 2, 38 Castle Peak Road-Sham Tseng, Sham Tseng, Hong Kong",22.3684875,114.0612743
"海韻花園 2座 高層 E室","Rhine Garden Block 2","Rhine Garden Block 2, 38 Castle Peak Road-Sham Tseng, Sham Tseng, Hong Kong",22.3684875,114.0612743
"藍天海岸 1期 5座 中層 H室",NA,NA,NA,NA
"榮輝中心 4座 中層 K室","Wing Fai Centre","聯和墟聯捷街2-10號榮輝中心 /WING FAI CENTRE, 2-10 LUEN CHIT ST., LUEN WO HUI, N.T, Fanling, Hong Kong",22.501766,114.1435277
"花都廣場 4座 高層 F室",NA,NA,NA,NA
"天平邨 天賀樓 (3座) 中層 24室",NA,NA,NA,NA
"海璇 1B期 5A座 低層 D室",NA,NA,NA,NA
"維景花園 A座 低層 5室","Grandeur Garden","3 King Fung Path, Tuen Mun, Hong Kong",22.4050004,113.9812319
"Yoho Town 2期 Yoho Midtown 3座 低層 E室",NA,NA,NA,NA
"海之戀 3期A 海之戀．愛炫美 3A座 中層 B室",NA,NA,NA,NA
"海之戀 3期A 海之戀．愛炫美 3A座 中層 A室",NA,NA,NA,NA
"峻巒 2C期 Park Yoho Milano 32A座 低層 E室",NA,NA,NA,NA
"寶雅苑 興和閣 (B座) 高層 11室","Po Nga Court Block B Hing Wo House","Po Nga Court Block B Hing Wo House, 2 Tai Po Tai Wo Rd, Tai Wo Estate, Hong Kong",22.4507355,114.1587588
"彩明苑 彩楊閣 (A座) 高層 5室",NA,NA,NA,NA
"采葉庭 11座 中層 C室","采葉庭有格生活智能櫃","Hong Kong, Yuen Long, Yuen Long Kau Hui Rd, 33號舊墟路33號采葉庭平台有格生活智能櫃(住戶專用) The Parcville Tower 13",22.450036,114.032359
"嘉亨灣 1座 中層 A室","Grand Promenade","38 Tai Hong St, Aldrich Bay, Hong Kong",22.2849749,114.2246615
"尚城 5座 高層 F室","Uptown Tower 5","Uptown Tower 5, 600 Castle Peak Rd - Hung Shui Kiu, Hung Shui Kiu, Hong Kong",22.4344826,114.0009937
"尚匯 中層 A室","The Gloucester","The Gloucester, Gloucester Rd, Wan Chai, Hong Kong",22.2802111,114.1794799
"Silicon Hill University Hill 2B期 優景閣 第2座 中層 A1室",NA,NA,NA,NA
"新達廣場 6座 中層 A室","Uptown Plaza","9 Nam Wan Rd, Tai Po, Hong Kong",22.443554,114.169348
"天祐苑 祐寧閣 (B座) 高層 2室","Tin Yau Court","1 Tin Shing Rd, Tin Shui Wai, Hong Kong",22.4513206,114.0059496
"柏傲灣 2B座 低層 D室",NA,NA,NA,NA
"荃景花園 2期 8座 高層 B室","Tsuen King Garden Phase 2","Tsuen King Circuit, Hong Kong",22.3781127,114.1100626
"帝堡城 6座 中層 H室","The Castello Block 6","The Castello Block 6, 69 Siu Lek Yuen Road, Siu Lek Yuen, Hong Kong",22.3841425,114.2159498
"綠悠雅苑 2座 高層 D室","Greenview Villa Tower 2","Greenview Villa Tower 2, 18 Tsing Luk St, Tsing Yi, Hong Kong",22.3528756,114.1042442
"環宇海灣 1座 中層 E室","City Point Block 1","City Point Block 1, 48 Wing Shun St, Tsuen Wan, Hong Kong",22.3652523,114.1136068
"嘉田苑 嘉康閣 (A座) 高層 2室","Ka Tin Court Block A Ka Hong House","Ka Tin Court Block A Ka Hong House, 10 Hin Tin St, Tai Wai, Hong Kong",22.3613564,114.1727087
"Yoho Town 2期 Yoho Midtown 7座 高層 B室",NA,NA,NA,NA
"嘉湖山莊 7期 景湖居 12座 低層 B室","Kenswood Court - Kingswood Villas Block 12","Kenswood Court - Kingswood Villas Block 12, 2 Tin Lung Rd, Tin Shui Wai, Hong Kong",22.4583631,114.005936
"維景灣畔 3期 15 座 低層 E室","維景灣畔第三期商場","Hong Kong, Tseung Kwan O, Chui Ling Rd, 調景嶺體育館及圖書館",22.3037128,114.2525145
"嘉湖山莊 2期 賞湖居 5座 低層 E室","Sherwood Crt - Kingswood Villas Block 5","Sherwood Crt - Kingswood Villas Block 5, 3 Tin Wu Rd, Tin Shui Wai, Hong Kong",22.4539192,114.0024108
"雲疊花園 4座 高層 B室","Carado Garden Block 4","Carado Garden Block 4, 26 Tin Sam St, Tai Wai, Hong Kong",22.3679371,114.176559
"翠竹花園 12座 中層 B室","Tsui Chuk Garden Block 12","Tsui Chuk Garden Block 12, 8 Chui Chuk St, Chuk Un, Hong Kong",22.3463331,114.1879191
"盈暉臺 2座 中層 H室","Nob Hill Tower 2","Nob Hill Tower 2, 8 King Lai Path, Lai Chi Kok, Hong Kong",22.3417077,114.1375023
"金獅花園 2期 金福閣 (E座) 高層 6室",NA,NA,NA,NA
"祥和苑 和誠閣 (C座) 低層 6室","Cheung Wo Court Wo Shing House","Cheung Wo Court Wo Shing House, 277 Hip Wo St, Hong Kong",22.3187954,114.2270223
"維景灣畔 2期 7座 高層 A室",NA,NA,NA,NA
"日出康城 2期A 領都 1座 (左翼) 中層 B室",NA,NA,NA,NA
"藍灣半島 7座 高層 A室","Island Resort","Shop 11-12, Ground Floor, 28 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",22.2662459,114.2508717
"豪景花園 1期 碧華閣 (6座) 中層 F室","Hong Kong Garden BLK 6 Beverley Heights","Hong Kong Garden Block 6 Beverley Heights, 100 Castle Peak Rd-Tsing Lung Tau, Tsing Lung Tau, Hong Kong",22.362793,114.044544
"海逸豪園 4期(IVA) 海逸灣 16座 高層 C室","Laguna Verde","8 Laguna Verde Ave, Hung Hom, Hong Kong",22.308068,114.192812
"日出康城 3期A 緻藍天 珀峰 (3座) 高層 LA室","日出康城三期緻藍天三座珀峰","1 Lohas Park Rd, 號 Hong Kong",22.2971829,114.2701501
"將軍澳中心 1期 9座 中層 F室",NA,NA,NA,NA
"荃灣中心 濟南樓 (18座) 中層 E室","Tsuen Wan Centre Tsinan House","Tsuen Wan Centre Tsinan House, 93 Tsuen King Circuit, Hong Kong",22.3788976,114.1071822
"富澤花園 富嘉閣 高層 C室","Fortress Garden Fu Kar Court","FU KAR COURT, Fortress Garden Fu Kar Court, 32 FORTRESS HILL ROAD, H.K, 32號 Fortress Hill Rd, Hong Kong",22.2867882,114.1950612
"維景灣畔 2期 7座 高層 C室",NA,NA,NA,NA
"逸瓏灣8 3C座 中層 A室",NA,NA,NA,NA
"太古城 高山台 東山閣 (6座) 高層 A室",NA,NA,NA,NA
"太古城 高山台 廬山閣 (9座) 低層 G室",NA,NA,NA,NA
"海怡花園 1座 高層 2室","Harbour View Garden Blk 2","2 Catchick St, Kennedy Town, Hong Kong",22.2833491,114.1293324
"嘉湖山莊 1期 樂湖居 4座 高層 A室","Locwood Court - Kingswood Villas Block 4","Locwood Court - Kingswood Villas Block 4, 1 Tin Wu Rd, Tin Shui Wai, Hong Kong",22.4514123,114.0005068
"新達廣場 1座 高層 H室","Uptown Plaza","9 Nam Wan Rd, Tai Po, Hong Kong",22.443554,114.169348
"朗怡居 2座 低層 C室","Villas Premiere Block 2","Villas Premiere Block 2, 99 Fung Cheung Rd, Yuen Long, Hong Kong",22.4402029,114.0342289
"香港黃金海岸 3座 12樓 A室","Hong Kong Gold Coast Block 3","Hong Kong Gold Coast Block 3, 1 Castle Peak Road-Castle Peak Bay, So Kwun Wat, Hong Kong",22.3733165,113.9914225
"和富大樓 十一樓 A室","Provident Centre Blk 11","41號 Wharf Rd, North Point, Hong Kong",22.2926473,114.1968965
"東熹苑 華熹閣 (C座) 四樓 14室","Tung Hei Court Block C Wah Hei House","38號 Yiu Hing Rd, Sai Wan Ho, Hong Kong",22.2797592,114.2194046
"永業大廈 十樓 D室","Yip Wong Estate Yip Wo House","21號 Tin Hau Rd, Tuen Mun, Hong Kong",22.3880403,113.968368
"荃景花園 1期 4座 29樓 B室",NA,NA,NA,NA
"荃景花園 2期 11座 17樓 E室",NA,NA,NA,NA
"翠屏花園 B座 11樓 7室",NA,NA,NA,NA
"逸濤灣 冬和軒 (4座) 32樓 E室","Les Saisons Block 4 L'Hiver","28號 Tai On St, Aldrich Bay, Hong Kong",22.2832523,114.2247234
"翠景花園 1座 22樓 F室","Park View Garden Block 1","Park View Garden Block 1, 8 Pik Tin St, Tai Wai, Hong Kong",22.3782327,114.172768
"濱景花園 3座 27樓 C室","Ravana Garden Block 3","Ravana Garden Block 3, 1 On King St, Sha Tin, Hong Kong",22.3917519,114.2051723
"海濱花園 海霞閣 (6座) 31樓 B室",NA,NA,NA,NA
"永利中心 C座 十三樓 C4室",NA,NA,NA,NA
"太古城 安盛台 寧安閣 (27座) 25樓 E室","Taikoo Shing, On Shing Terrace Ning On Mansion","Taikoo Shing, On Shing Terrace Ning On Mansion, 28 Tai Koo Shing Rd, Taikoo Shing, Hong Kong",22.2862159,114.2148186
"啟鑽苑 4座 (啟濤閣) 31樓 16室",NA,NA,NA,NA
"冠山苑 21樓 5室",NA,NA,NA,NA
"啟欣苑 A座 35樓 17室",NA,NA,NA,NA
"啟欣苑 A座 11樓 2室",NA,NA,NA,NA
"啟欣苑 A座 24樓 20室","啟潤閣","Hong Kong, Kai Tak, Muk Lai St, 6號啟欣苑A座",22.327314,114.1948259
"啟欣苑 A座 31樓 23室",NA,NA,NA,NA
"合眾樓 二樓 31號","合眾樓","31-41號 Kai Tak Rd, Kowloon City, Hong Kong",22.3293714,114.1919511
"合眾樓 二樓 41號","合眾樓","31-41號 Kai Tak Rd, Kowloon City, Hong Kong",22.3293714,114.1919511
"順利大廈 B座 4樓 B3室",NA,NA,NA,NA
"葵芳閣 1座 20樓 F室","Kwai Fong Terrace Block 1","Kwai Fong Terrace Block 1, 15 Kwai Yi Rd, Kwai Fong, Hong Kong",22.3555952,114.1282045
"威發大廈 十二樓 D室","威發大廈","Wai Fat Building, Hak Po St, Mong Kok, Hong Kong",22.319506,114.172409
"啟德花園 3座 8樓 H室","Kai Tak Garden","121號 Choi Hung Rd, Chuk Un, Hong Kong",22.3382388,114.1945111
"愛蝶灣 車位 7樓 722號",NA,NA,NA,NA
"新寶城 1座 43樓 D室","La Cite Noble Block 1","La Cite Noble Block 1, 1 Ngan O Rd, Hang Hau, Hong Kong",22.313568,114.266122
"荷李活華庭 A座 34樓 G室","Hollywood Terrace Block A","Hollywood Terrace Block A, 123 Hollywood Rd, Tai Ping Shan, Hong Kong",22.2841794,114.1513263
"海茵莊園 2座 22樓 B7室",NA,NA,NA,NA
"藍天海岸 4期 水藍‧天岸 2座 3樓 C室",NA,NA,NA,NA
"嘉湖山莊 5期 麗湖居 9座 35樓 C室","Lynwood Court - Kingswood Villas Block 9","Lynwood Court - Kingswood Villas Block 9, 3 Tin Kwai Rd, Tin Shui Wai, Hong Kong",22.4614229,114.0031634
"景賜大廈 16樓 C室",NA,NA,NA,NA
"麗柏苑 6(F)座","Villa Le Parc","20 To Fung Shan Rd, Sha Tin, Hong Kong",22.3800613,114.1849178
"怡心園 3座 23樓 A室","怡心园三座","Serenity Place Block 3, 88號 Po Hong Rd, Tseung Kwan O, Hong Kong",22.3220391,114.2537976
"瓏珀山 2期 King Tower 2座 9樓 D室",NA,NA,NA,NA
"日出康城 2期A 領都 2座 (左翼) 56樓 B室",NA,NA,NA,NA
"Capri 8座 2樓 C室","Capri","33 Tong Yin St, Tseung Kwan O, Hong Kong",22.3025171,114.2571728
"天頌苑 頌畫閣 (P座) 8樓 8室","天頌苑頌臺閣","Tin Wing Rd, Tin Shui Wai, Hong Kong",22.4607004,114.0005041
"啟鑽苑 5座 (啟湖閣) 25樓 6室","Kai Chuen Court","235號 Choi Hung Rd, Tai Hom, Hong Kong",22.3393001,114.2000991
"啟鑽苑 4座 (啟濤閣) 2樓 5室",NA,NA,NA,NA
"啟鑽苑 4座 (啟濤閣) 21樓 17室",NA,NA,NA,NA
"啟鑽苑 5座 (啟湖閣) 5樓 5室","啟鑽苑第5座啟湖閣","235號 Choi Hung Rd, Tai Hom, Hong Kong",22.338871,114.200978
"啟鑽苑 4座 (啟濤閣) 19樓 6室",NA,NA,NA,NA
"均益大廈 1期 均益大廈第1期 二十三樓 5D室","Kwan Yick Building Phase 2 Shopping Arcade","343 Des Voeux Rd W, Sai Wan, Hong Kong",22.2875172,114.1380481
"馬頭圍道96號 二樓 96號","二 96 号","二 96 号, 96 Ma Tau Wai Road, 96 Ma Tau Wai Rd, Hok Yuen, Hong Kong",22.3100861,114.1874405
"馬頭圍道96號 三樓 96號","三 96 号","三 96 号, 96 Ma Tau Wai Road, 96 Ma Tau Wai Rd, Hok Yuen, Hong Kong",22.3100861,114.1874405
"馬頭圍道96號 四樓 96號","四 96 号","四 96 号, 96 Ma Tau Wai Road, 96 Ma Tau Wai Rd, Hok Yuen, Hong Kong",22.3100861,114.1874405
"馬頭圍道96號 六樓 96號","六 96 号","六 96 号, 96 Ma Tau Wai Road, 96 Ma Tau Wai Rd, Hok Yuen, Hong Kong",22.3100861,114.1874405
"馬頭圍道96號 九樓 96號","九 96 号","九 96 号, 96 Ma Tau Wai Road, 96 Ma Tau Wai Rd, Hok Yuen, Hong Kong",22.3100861,114.1874405
"馬頭圍道96號 十樓 96號","十 96 号","十 96 号, 96 Ma Tau Wai Road, 96 Ma Tau Wai Rd, Hok Yuen, Hong Kong",22.3100861,114.1874405
"馬頭圍道96號 十一樓 96號","十 一","十 一, 96 Ma Tau Wai Road, 96 Ma Tau Wai Rd, Hok Yuen, Hong Kong",22.3100861,114.1874405
"名鑽 2樓 F室",NA,NA,NA,NA
"林海山城 1座","Villa Lucca","36 Lo Fai Rd, Ting Kok, Hong Kong",22.4625128,114.1974501
"富怡花園 2座 22樓 C室","Cheerful Garden Block 2","Cheerful Garden Block 2, 23 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",22.2632878,114.250307
"皇府山 1座 1樓 B室","Noble Hill Tower 1","Noble Hill Tower 1, 38 Ma Sik Rd, Sheung Shui, Hong Kong",22.5036184,114.1345993
"輝鴻閣 25樓 E室",NA,NA,NA,NA
"The Haddon 25樓 P室",NA,NA,NA,NA
"沙田中心 海寧大廈 (B座) 6樓 F室",NA,NA,NA,NA
"愉景灣 3期寶峰 寶晶閣 17樓 C室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 3樓 A01室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 3樓 B03室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 3樓 B08室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 5樓 A07室","High Park","1 Hung On Ln, Hung Shui Kiu, Hong Kong",22.4347218,113.9965679
"滙都 2期 滙都 II 6座 7樓 A05室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 11樓 A01室",NA,NA,NA,NA
"滙都 2期 滙都 II 6座 11樓 A02室",NA,NA,NA,NA
"浪翠園 5期(帝華軒) 車位 地下 58號",NA,NA,NA,NA
"浪翠園 5期(帝華軒) 1座 15樓 D室",NA,NA,NA,NA
"嘉峰臺 1期 3座 24樓 E室",NA,NA,NA,NA
"海韻花園 4座 27樓 F室","Rhine Garden Block 4","Rhine Garden Block 4, 38 Castle Peak Road-Sham Tseng, Sham Tseng, Hong Kong",22.3684325,114.0620409
"文耀樓 十六樓 44室","八文樓","Hong Kong, Jordan, Man Wai St, 25-47號香港佐敦文蔚街25-47號 Man Yiu Building",22.307635,114.1662706
"太古城 星輝台 衛星閣 (49座) 24樓 B室",NA,NA,NA,NA
"曼克頓山 5座 51樓 D室","Manhattan Hill Tower 5","Manhattan Hill Tower 5, 1 Po Lun St, Lai Chi Kok, Hong Kong",22.3350888,114.1424258
"文英樓 六樓 8室(18號)","八文樓","Hong Kong, Jordan, Man Wai St, 25-47號香港佐敦文蔚街25-47號 Man Yiu Building",22.307635,114.1662706
"均益大廈 3期 B座 十四樓 B5室","Kwan Yick Building Phase 3","Kwan Yick Building Phase 3, 273 Des Voeux Rd W, Sai Ying Pun, Hong Kong",22.2882294,114.1403821
"曉暉花園 1座 3樓 A室","Scenic View","63 Fung Shing St, Hammer Hill, Hong Kong",22.3374096,114.2152818
"鴨巴甸街37-39號 三樓 39號","三 39 号","三 39 号, 37 Aberdeen St, Central, Hong Kong",22.2827789,114.1516805
"軒尼詩道459-465號 七樓 463號","七 463 号","七 463 号, 459-465 Hennessy Road, 459-465 Hennessy Rd, Bowrington, Hong Kong",22.2798906,114.1820712
"益誠樓 6樓 240號(A室)","Yick Shing Mansion","Yick Shing Mansion, 238～240號 Lockhart Rd, Wan Chai, Hong Kong",22.2783077,114.1759179
"金寶樓 8樓 A室","Cambo House","Cambo House, 182-184 Prince Edward Rd W, Prince Edward, Hong Kong",22.3247775,114.1719077
"雲疊花園 6座 21樓 M室",NA,NA,NA,NA
"麥花臣匯 1B座 21樓 B室","MacPherson Place","MacPherson Place, 38 Nelson St, Mong Kok, Hong Kong",22.3187631,114.1729199
"逸瓏灣8 3C座 1樓 C室",NA,NA,NA,NA
"龍門居 車位 1樓 100號",NA,NA,NA,NA
"疊茵庭 車位 基層1樓 79號(I期)",NA,NA,NA,NA
"新都城 2期 3座 5樓 B室",NA,NA,NA,NA
"新都城 1期 4座 31樓 D室",NA,NA,NA,NA
"荃威花園 J座 16樓 7室","Allway Gardens Block J","Allway Gardens Block J, 16 On Yat St, Tsuen King Circuit, Hong Kong",22.3778601,114.1034545
"昇薈 9座 25樓 A室",NA,NA,NA,NA
"運頭塘邨 運亨樓 (5座) 31樓 8室","Wan Tau Tong Estate Block 5 Wan Hang House","Wan Tau Tong Estate Block 5 Wan Hang House, Hiu Wan Rd, Tai Po, Hong Kong",22.4415958,114.1657252
"天富苑 元富閣 (A座) 1樓 3室","Tin Fu Court Block A Yuen Fu House","Tin Fu Court Block A Yuen Fu House, 15 Tin Sau Rd, Tin Shui Wai, Hong Kong",22.4630826,113.9978343
"龍德苑 晉德閣 (A座) 6樓 3室","Lung Tak Court Block A Chun Tak House","52號 Cape Rd, Stanley, Hong Kong",22.2207893,114.2075939
"傲玟 1座 23樓 B室",NA,NA,NA,NA
"薄扶林花園 6座 15樓 B室","Pokfulam Gardens Block 6","Pokfulam Gardens Block 6, 180 Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",22.2572658,114.1374292
"寶星中心 C座 6樓 6室","寶星中心C座","Po Sing Centre Block C, 1號 Ta Chuen Ping St, Kwai Chung, Hong Kong",22.366169,114.136216
"貝沙灣 1期 7座 25樓 B室",NA,NA,NA,NA
"貝沙灣 2期 南岸 8座 39樓 A室","貝沙灣2期8座","38號 Bel-air Ave, Telegraph Bay, Hong Kong",22.256031,114.132203
"安秀苑 A座 29樓 27室",NA,NA,NA,NA
"德田邨 德樂樓 (4座) 6樓 7室","Tak Tin Estate Block 4 Tak Lok House","Tak Tin Estate Block 4 Tak Lok House, Pik Wan Rd, Lam Tin, Hong Kong",22.3092043,114.2393784
"雍明苑 B座 (澤明閣) 21樓 36室",NA,NA,NA,NA
"Double Coast 1期 Double Coast I 3座 11樓 L室",NA,NA,NA,NA
"Double Coast 1期 Double Coast I 3座 15樓 L室",NA,NA,NA,NA
"馬寶閣 21樓 B室",NA,NA,NA,NA
"景業大廈 5樓 9A號",NA,NA,NA,NA
"西營盤渣打銀行大廈 三樓 A室","Standard Chartered Bank Building","4-4a Des Voeux Rd Central, Central, Hong Kong",22.2803829,114.159077
"盈翠半島 1期 5座 27樓 F室","盈翠半島","Hong Kong, Tsing Yi, 盈翠半島",22.3582411,114.1071474
"盈翠半島 1期 5座 27樓 E室","盈翠半島","Hong Kong, Tsing Yi, 盈翠半島",22.3582411,114.1071474
"啟鑽苑 4座 (啟濤閣) 35樓 5室",NA,NA,NA,NA
"維景花園 B座 十七樓 5室","Viking Garden Block B","Viking Garden Block B, 40 Hing Fat St, Causeway Bay, Hong Kong",22.2837824,114.1913326
"丹拿花園 1座 8樓 A室","Tanner Gardens Block 1","Tanner Gardens Block 1, 18 Tanner Rd, North Point, Hong Kong",22.2903239,114.2017501
"連城閣 16樓 A室",NA,NA,NA,NA
"英皇道484號 5樓 前座(A室)",NA,NA,NA,NA
"翔龍灣 3座 31樓 E室","Grand Waterfront Tower 3","Grand Waterfront Tower 3, 38 San Ma Tau St, Ma Tau Kok, Hong Kong",22.3192099,114.1934922
"海茵莊園 2座 36樓 D5室",NA,NA,NA,NA
"油塘中心 7座 6樓 D室",NA,NA,NA,NA
"冠峰園 3座 8樓 C室",NA,NA,NA,NA
"布業大廈 10樓 A室",NA,NA,NA,NA
"啟欣苑 A座 19樓 17室",NA,NA,NA,NA
"八達大廈 8樓 D室",NA,NA,NA,NA
"OMA OMA 1B座 地下 C室",NA,NA,NA,NA
"The Aster 27樓 C室",NA,NA,NA,NA
"南角道44號 二樓 44號(A室)",NA,NA,NA,NA
"Yoho Town 2期 Yoho Midtown 1座 22樓 G室",NA,NA,NA,NA
"康盛花園 5座 15樓 M室","Hong Sing Garden Block 5","Hong Sing Garden Block 5, 1 Po Lam Rd N, Hong Kong",22.3198946,114.2538081
"置富花園 富安苑 (H-3座) 25樓 F室","Chi Fu Fa Yuen Fu On Yuen","Chi Fu Fa Yuen Fu On Yuen, 3 Chi Fu Rd, Pok Fu Lam, Hong Kong",22.255783,114.138935
"星凱．堤岸 1座 48樓 A室",NA,NA,NA,NA
"海逸豪園 4期(IVA) 海逸灣 18座 19樓 G室",NA,NA,NA,NA
"帝堡城 8座 31樓 A室","The Castello Block 8","The Castello Block 8, 69 Siu Lek Yuen Road, Siu Lek Yuen, Hong Kong",22.3832917,114.2156133
"康輝大廈 A座 四樓 A4室","Hong Fai Building Block A","Hong Fai Building Block A, 64-68 Wing Hong St, So Uk, Hong Kong",22.3407732,114.1539447
"黃大仙下邨(一區) 龍豐樓 (2座) 26樓 1室",NA,NA,NA,NA
"沙田第一城 1期 8座 6樓 H室",NA,NA,NA,NA
"怡豐花園 車位 1樓 85號",NA,NA,NA,NA
"康景花園 D座 5樓 1室","Mount Parker Lodge Blk D","Mount Parker Lodge Blk D, 10 Hong Pak Path, Quarry Bay, Hong Kong",22.2818431,114.2127329
"錦暉苑 24樓 19室",NA,NA,NA,NA
"新翠花園 5座 6樓 H室","New Jade Garden","233 Chai Wan Rd, Chai Wan, Hong Kong",22.264079,114.237294
"金獅花園 2期 金富閣 (A座) 五樓 5室",NA,NA,NA,NA
"海翩滙 5座 5樓 B室","The Papillons","21號 Tong Chun St, Tseung Kwan O, Hong Kong",22.3035593,114.2625149
"麗都花園 1座 22樓 A室","Lido Garden Block 1","Lido Garden Block 1, 41-63 Castle Peak Road-Sham Tseng, Sham Tseng, Hong Kong",22.3660934,114.0586031
"幸俊苑 俊賢閣 (B座) 12樓 8室",NA,NA,NA,NA
"Novo Land 3B期 Fiskars 2A座 8樓 A2室",NA,NA,NA,NA
"山麗苑 F座 10樓 7室",NA,NA,NA,NA
"雅麗閣 十五樓 H室","Artland Court","Artland Court, 392 Chai Wan Rd, Chai Wan, Hong Kong",22.2655798,114.2447874
"柏傲灣 2B座 50樓 E室",NA,NA,NA,NA
"Novo Land 1A期 Elverum 1座 8樓 H室",NA,NA,NA,NA
"黃埔花園 1期 金柏苑 1座 5樓 H室",NA,NA,NA,NA
"高雅閣 4樓 F室",NA,NA,NA,NA
"嘉匯 9座 35樓 E室",NA,NA,NA,NA
"昇柏山 20樓 LA室",NA,NA,NA,NA
"恒豐園 2座 5樓 G室","Harvest Garden Block 2","Harvest Garden Block 2, 1 Wing Fat Ln, Tuen Mun, Hong Kong",22.3842609,113.9813167
"柏傲灣 1B座 41樓 D室",NA,NA,NA,NA
"Novo Land 3B期 Fiskars 1座 19樓 A2室",NA,NA,NA,NA
"君匯港 名匯 (3座) 5樓 D室",NA,NA,NA,NA
