"日期","地址","成交價","面積_實","每呎價_實","資料來源"
"2024-12-24","日出康城 2期A 領都 1座 (左翼) 中層 B室",990,977,10133,"AC"
"2024-12-24","藍灣半島 7座 高層 A室",1208,834,14484,"AC"
"2024-12-24","豪景花園 1期 碧華閣 (6座) 中層 F室",300,365,8219,"AC"
"2024-12-24","海逸豪園 4期(IVA) 海逸灣 16座 高層 C室",1950,NA,NA,"AC"
"2024-12-24","日出康城 3期A 緻藍天 珀峰 (3座) 高層 LA室",1022,801,12759,"AC"
"2024-12-24","將軍澳中心 1期 9座 中層 F室",560,406,13793,"AC"
"2024-12-24","荃灣中心 濟南樓 (18座) 中層 E室",303,329,9210,"AC"
"2024-12-24","富澤花園 富嘉閣 高層 C室",780,682,11437,"AC"
"2024-12-24","維景灣畔 2期 7座 高層 C室",765,498,15361,"AC"
"2024-12-24","逸瓏灣8 3C座 中層 A室",910,700,13000,"AC"
"2024-12-24","太古城 高山台 東山閣 (6座) 高層 A室",1098,760,14447,"AC"
"2024-12-24","太古城 高山台 廬山閣 (9座) 低層 G室",788,589,13379,"AC"
"2024-12-24","海怡花園 1座 高層 2室",735,437,16819,"AC"
"2024-12-24","嘉湖山莊 1期 樂湖居 4座 高層 A室",495,636,7783,"AC"
"2024-12-24","新達廣場 1座 高層 H室",778,620,12548,"AC"
"2024-12-24","朗怡居 2座 低層 C室",505,531,9510,"AC"
"2024-12-09","香港黃金海岸 3座 12樓 A室",527,685,7693,"Land"
"2024-12-11","和富大樓 十一樓 A室",497,594,8367,"Land"
"2024-12-16","東熹苑 華熹閣 (C座) 四樓 14室",318,438,7260,"Land"
"2024-11-29","永業大廈 十樓 D室",620,633,9795,"Land"
"2024-12-09","荃景花園 1期 4座 29樓 B室",550,522,10536,"Land"
"2024-12-10","荃景花園 2期 11座 17樓 E室",540,551,9800,"Land"
"2024-12-10","翠屏花園 B座 11樓 7室",298,262,11374,"Land"
"2024-12-10","逸濤灣 冬和軒 (4座) 32樓 E室",1370,766,17885,"Land"
"2024-12-18","翠景花園 1座 22樓 F室",700,662,10574,"Land"
"2024-12-12","濱景花園 3座 27樓 C室",715,544,13143,"Land"
"2024-12-13","海濱花園 海霞閣 (6座) 31樓 B室",587,584,10051,"Land"
"2024-12-11","永利中心 C座 十三樓 C4室",308,260,11846,"Land"
"2024-12-18","太古城 安盛台 寧安閣 (27座) 25樓 E室",800,580,13793,"Land"
"2024-12-09","啟鑽苑 4座 (啟濤閣) 31樓 16室",120.7,NA,NA,"Land"
"2022-12-06","冠山苑 21樓 5室",351.5,NA,NA,"Land"
"2022-11-30","啟欣苑 A座 35樓 17室",336.18,NA,NA,"Land"
"2023-01-03","啟欣苑 A座 11樓 2室",230.16,NA,NA,"Land"
"2022-11-18","啟欣苑 A座 24樓 20室",394.16,NA,NA,"Land"
"2023-02-13","啟欣苑 A座 31樓 23室",161.25,NA,NA,"Land"
"2024-12-06","合眾樓 二樓 31號",568,490,11592,"Land"
"2024-12-10","合眾樓 二樓 41號",568,490,11592,"Land"
"2024-12-10","順利大廈 B座 4樓 B3室",280,382,7330,"Land"
"2024-12-18","葵芳閣 1座 20樓 F室",478,473,10106,"Land"
"2024-12-17","威發大廈 十二樓 D室",288,295,9763,"Land"
"2024-12-13","啟德花園 3座 8樓 H室",485,612,7925,"Land"
"2024-12-19","愛蝶灣 車位 7樓 722號",70,NA,NA,"Land"
"2024-12-17","新寶城 1座 43樓 D室",623,434,14355,"Land"
"2024-12-06","荷李活華庭 A座 34樓 G室",850,624,13622,"Land"
"2024-12-03","海茵莊園 2座 22樓 B7室",550,NA,NA,"Land"
"2024-12-16","藍天海岸 4期 水藍‧天岸 2座 3樓 C室",670,539,12430,"Land"
"2024-12-06","嘉湖山莊 5期 麗湖居 9座 35樓 C室",408,NA,NA,"Land"
"2024-12-17","景賜大廈 16樓 C室",396,344,11512,"Land"
"2024-07-15","麗柏苑 6(F)座",5000,2832,17655,"Land"
"2024-12-19","怡心園 3座 23樓 A室",610,656,9299,"Land"
"2024-12-10","瓏珀山 2期 King Tower 2座 9樓 D室",1608.53,990,16248,"Land"
"2024-12-06","日出康城 2期A 領都 2座 (左翼) 56樓 B室",718,822,8735,"Land"
"2024-12-11","Capri 8座 2樓 C室",848,527,16091,"Land"
"2024-12-18","天頌苑 頌畫閣 (P座) 8樓 8室",378,NA,NA,"Land"
"2024-12-03","啟鑽苑 5座 (啟湖閣) 25樓 6室",121.13,NA,NA,"Land"
"2024-12-03","啟鑽苑 4座 (啟濤閣) 2樓 5室",109.96,NA,NA,"Land"
"2024-12-05","啟鑽苑 4座 (啟濤閣) 21樓 17室",121.83,NA,NA,"Land"
"2024-12-05","啟鑽苑 5座 (啟湖閣) 5樓 5室",116.32,NA,NA,"Land"
"2024-12-04","啟鑽苑 4座 (啟濤閣) 19樓 6室",116.3,NA,NA,"Land"
"2024-12-06","均益大廈 1期 均益大廈第1期 二十三樓 5D室",303,269,11264,"Land"
"2024-11-29","馬頭圍道96號 二樓 96號",234.09,576,4064,"Land"
"2024-11-29","馬頭圍道96號 三樓 96號",226.59,576,3934,"Land"
"2024-11-29","馬頭圍道96號 四樓 96號",229.09,576,3977,"Land"
"2024-11-29","馬頭圍道96號 六樓 96號",234.09,576,4064,"Land"
"2024-11-29","馬頭圍道96號 九樓 96號",241.59,576,4194,"Land"
"2024-11-29","馬頭圍道96號 十樓 96號",244.09,576,4238,"Land"
"2024-11-29","馬頭圍道96號 十一樓 96號",246.59,576,4281,"Land"
"2024-12-11","名鑽 2樓 F室",1296.2,671,19317,"Land"
"2024-12-12","林海山城 1座",1368.8,1160,11800,"Land"
"2024-12-17","富怡花園 2座 22樓 C室",460,592,7770,"Land"
"2024-12-09","皇府山 1座 1樓 B室",418,490,8531,"Land"
"2024-12-12","輝鴻閣 25樓 E室",1730,1081,16004,"Land"
"2024-12-11","The Haddon 25樓 P室",598.77,314,19069,"Land"
"2024-12-10","沙田中心 海寧大廈 (B座) 6樓 F室",490,297,16498,"Land"
"2024-11-30","愉景灣 3期寶峰 寶晶閣 17樓 C室",570,624,9135,"Land"
"2024-12-18","滙都 2期 滙都 II 6座 3樓 A01室",430.92,436,9883,"Land"
"2024-12-13","滙都 2期 滙都 II 6座 3樓 B03室",451.86,441,10246,"Land"
"2024-12-13","滙都 2期 滙都 II 6座 3樓 B08室",428.09,431,9932,"Land"
"2024-12-13","滙都 2期 滙都 II 6座 5樓 A07室",424.42,433,9802,"Land"
"2024-12-13","滙都 2期 滙都 II 6座 7樓 A05室",437.5,445,9831,"Land"
"2024-12-17","滙都 2期 滙都 II 6座 11樓 A01室",470.5,436,10791,"Land"
"2024-12-17","滙都 2期 滙都 II 6座 11樓 A02室",368.59,320,11518,"Land"
"2024-12-16","浪翠園 5期(帝華軒) 車位 地下 58號",100,NA,NA,"Land"
"2024-12-16","浪翠園 5期(帝華軒) 1座 15樓 D室",783,1086,7210,"Land"
"2024-12-03","嘉峰臺 1期 3座 24樓 E室",418,431,9698,"Land"
"2024-12-16","海韻花園 4座 27樓 F室",468,681,6872,"Land"
"2024-11-29","文耀樓 十六樓 44室",454,450,10089,"Land"
"2024-12-17","太古城 星輝台 衛星閣 (49座) 24樓 B室",788,582,13540,"Land"
"2024-11-30","曼克頓山 5座 51樓 D室",275,538,5112,"Land"
"2024-12-16","文英樓 六樓 8室(18號)",480,665,7218,"Land"
"2024-11-29","均益大廈 3期 B座 十四樓 B5室",416.8,374,11144,"Land"
"2024-12-20","曉暉花園 1座 3樓 A室",718,710,10113,"Land"
"2024-12-12","鴨巴甸街37-39號 三樓 39號",320,284,11268,"Land"
"2024-12-10","軒尼詩道459-465號 七樓 463號",300,532,5639,"Land"
"2024-12-10","益誠樓 6樓 240號(A室)",450,589,7640,"Land"
"2024-11-26","金寶樓 8樓 A室",525,NA,NA,"Land"
"2024-12-09","雲疊花園 6座 21樓 M室",328,482,6805,"Land"
"2024-11-26","麥花臣匯 1B座 21樓 B室",610,398,15327,"Land"
"2024-11-28","逸瓏灣8 3C座 1樓 C室",600,494,12146,"Land"
"2024-12-20","龍門居 車位 1樓 100號",89,NA,NA,"Land"
"2024-12-13","疊茵庭 車位 基層1樓 79號(I期)",56,NA,NA,"Land"
"2024-12-01","新都城 2期 3座 5樓 B室",492.8,363,13576,"Land"
"2024-12-13","新都城 1期 4座 31樓 D室",690,526,13118,"Land"
"2024-11-28","荃威花園 J座 16樓 7室",300,NA,NA,"Land"
"2024-12-13","昇薈 9座 25樓 A室",1228,1159,10595,"Land"
"2024-12-02","運頭塘邨 運亨樓 (5座) 31樓 8室",470,485,9691,"Land"
"2024-12-18","天富苑 元富閣 (A座) 1樓 3室",370,NA,NA,"Land"
"2024-12-17","龍德苑 晉德閣 (A座) 6樓 3室",345,526,6559,"Land"
"2024-12-09","傲玟 1座 23樓 B室",3472.8,1447,24000,"Land"
"2024-12-16","薄扶林花園 6座 15樓 B室",508,466,10901,"Land"
"2024-12-09","寶星中心 C座 6樓 6室",315,329,9574,"Land"
"2024-12-04","貝沙灣 1期 7座 25樓 B室",2950,1366,21596,"Land"
"2024-12-13","貝沙灣 2期 南岸 8座 39樓 A室",3250,1376,23619,"Land"
"2023-02-20","安秀苑 A座 29樓 27室",194.22,NA,NA,"Land"
"2024-12-18","德田邨 德樂樓 (4座) 6樓 7室",253,544,4651,"Land"
"2024-12-17","雍明苑 B座 (澤明閣) 21樓 36室",455,382,11911,"Land"
"2024-12-13","Double Coast 1期 Double Coast I 3座 11樓 L室",546.3,320,17072,"Land"
"2024-12-12","Double Coast 1期 Double Coast I 3座 15樓 L室",549,320,17156,"Land"
"2024-12-11","馬寶閣 21樓 B室",518,NA,NA,"Land"
"2024-12-16","景業大廈 5樓 9A號",300,417,7194,"Land"
"2024-12-10","西營盤渣打銀行大廈 三樓 A室",410,NA,NA,"Land"
"2024-12-13","盈翠半島 1期 5座 27樓 F室",720,523,13767,"Land"
"2024-12-13","盈翠半島 1期 5座 27樓 E室",935,676,13831,"Land"
"2024-12-04","啟鑽苑 4座 (啟濤閣) 35樓 5室",127.06,NA,NA,"Land"
"2024-12-17","維景花園 B座 十七樓 5室",630,422,14929,"Land"
"2024-12-02","丹拿花園 1座 8樓 A室",898,674,13323,"Land"
"2024-12-03","連城閣 16樓 A室",370,325,11385,"Land"
"2024-12-04","英皇道484號 5樓 前座(A室)",420,NA,NA,"Land"
"2024-12-16","翔龍灣 3座 31樓 E室",848.8,547,15517,"Land"
"2024-12-06","海茵莊園 2座 36樓 D5室",566.9,283,20032,"Land"
"2024-12-10","油塘中心 7座 6樓 D室",398,475,8379,"Land"
"2024-12-04","冠峰園 3座 8樓 C室",560,720,7778,"Land"
"2024-12-16","布業大廈 10樓 A室",300,NA,NA,"Land"
"2022-11-30","啟欣苑 A座 19樓 17室",325.02,NA,NA,"Land"
"2024-12-18","八達大廈 8樓 D室",340,293,11604,"Land"
"2024-12-17","OMA OMA 1B座 地下 C室",1360,1161,11714,"Land"
"2024-11-27","The Aster 27樓 C室",1926.6,617,31225,"Land"
"2024-12-02","南角道44號 二樓 44號(A室)",159,179,8883,"Land"
"2024-12-18","Yoho Town 2期 Yoho Midtown 1座 22樓 G室",635,443,14334,"Land"
"2024-11-29","康盛花園 5座 15樓 M室",355,NA,NA,"Land"
"2024-12-06","置富花園 富安苑 (H-3座) 25樓 F室",630,588,10714,"Land"
"2024-12-13","星凱．堤岸 1座 48樓 A室",1415.1,731,19358,"Land"
"2024-12-13","海逸豪園 4期(IVA) 海逸灣 18座 19樓 G室",868,592,14662,"Land"
"2024-12-10","帝堡城 8座 31樓 A室",670,580,11552,"Land"
"2024-12-17","康輝大廈 A座 四樓 A4室",290,271,10701,"Land"
"2024-12-13","黃大仙下邨(一區) 龍豐樓 (2座) 26樓 1室",250,NA,NA,"Land"
"2024-12-11","沙田第一城 1期 8座 6樓 H室",432,327,13211,"Land"
"2024-12-03","怡豐花園 車位 1樓 85號",99,NA,NA,"Land"
"2024-11-29","康景花園 D座 5樓 1室",580,559,10376,"Land"
"2024-12-02","錦暉苑 24樓 19室",428,392,10918,"Land"
"2024-12-09","新翠花園 5座 6樓 H室",521,470,11085,"Land"
"2024-11-29","金獅花園 2期 金富閣 (A座) 五樓 5室",325,321,10125,"Land"
"2024-12-02","海翩滙 5座 5樓 B室",755,520,14519,"Land"
"2024-12-16","麗都花園 1座 22樓 A室",478,570,8386,"Land"
"2024-12-18","幸俊苑 俊賢閣 (B座) 12樓 8室",374.8,407,9209,"Land"
"2024-12-13","Novo Land 3B期 Fiskars 2A座 8樓 A2室",760.85,629,12096,"Land"
"2024-12-13","山麗苑 F座 10樓 7室",177.8,283,6283,"Land"
"2024-11-27","雅麗閣 十五樓 H室",360,364,9890,"Land"
"2024-12-13","柏傲灣 2B座 50樓 E室",510,306,16667,"Land"
"2024-12-13","Novo Land 1A期 Elverum 1座 8樓 H室",300,235,12766,"Land"
"2024-12-16","黃埔花園 1期 金柏苑 1座 5樓 H室",795,NA,NA,"Land"
"2024-12-19","高雅閣 4樓 F室",370,311,11897,"Land"
"2024-12-13","嘉匯 9座 35樓 E室",1250,632,19778,"Land"
"2024-12-13","昇柏山 20樓 LA室",758,747,10147,"Land"
"2024-12-13","恒豐園 2座 5樓 G室",442,620,7129,"Land"
"2024-12-13","柏傲灣 1B座 41樓 D室",825,488,16906,"Land"
"2024-12-13","Novo Land 3B期 Fiskars 1座 19樓 A2室",657.48,542,12131,"Land"
"2024-12-09","君匯港 名匯 (3座) 5樓 D室",768,478,16067,"Land"
"2024-12-13","美景花園 9座 27樓 E室",400,401,9975,"Land"
"2024-12-13","海燕花園 1期 新運路68號 5樓 G室",850,761,11170,"Land"
"2024-12-09","The Yoho Hub C期 The Yoho Hub II 6座 26樓 C室",713.62,448,15929,"Land"
"2024-12-13","裕豐洋樓 六樓 F室",268,357,7507,"Land"
"2024-12-06","Grand Yoho 1期 2座 12樓 A室",675,511,13209,"Land"
"2024-12-11","柏景灣 車位 地下 115號",300,NA,NA,"Land"
"2024-12-10","金禧花園 5座 18樓 H室",660,485,13608,"Land"
"2024-12-11","鳳輝臺 1 號 四樓 1A號(B室)",568,806,7047,"Land"
"2024-12-16","浩明雅苑 18樓 D室",613,NA,NA,"Land"
"2024-12-13","蔚藍灣畔 5座 31樓 C室",693,490,14143,"Land"
"2024-12-06","薈蕎 2翼 5樓 C3室",432,399,10827,"Land"
"2024-12-16","邁亞美海灣 5座 21樓 E室",454,489,9284,"Land"
"2024-12-03","傲玟 1座 16樓 A室",3402.975,1445,23550,"Land"
"2024-12-09","海日灣II 8座 5樓 F室",1590.2,1062,14974,"Land"
"2024-11-29","Miami Quay 1期 1座 9樓 B室",1628.5,661,24637,"Land"
"2024-11-29","半島豪庭 4座 28樓 E室",891,564,15798,"Land"
"2024-12-12","晉名峰 D座 25樓 B室",1268,922,13753,"Land"
"2024-12-16","金毓大廈 6樓 B室",615,NA,NA,"Land"
"2024-12-09","德雅苑 25樓 21室",340,NA,NA,"Land"
"2024-12-13","大興花園 2期 6座 21樓 D室",375,464,8082,"Land"
"2024-12-12","昌宏大廈 二十三樓 H室",286,NA,NA,"Land"
"2024-12-10","兆禧苑 安禧閣 (A座) 三十一樓 10室",350,NA,NA,"Land"
"2024-12-06","嘉湖山莊 6期 美湖居 3座 24樓 C室",445,544,8180,"Land"
"2024-12-13","海悅花園 2座 20樓 H室",480,590,8136,"Land"
"2024-12-09","康強苑 35樓 2室",520,NA,NA,"Land"
"2024-12-06","山景邨 景樂樓 (6座) 15樓 A6室",115,381,3018,"Land"
"2024-12-06","好發大廈 9樓 E室",273.8,401,6828,"Land"
"2024-12-20","錦豐苑 錦蓉閣 (A座) 31樓 13室",448,532,8421,"Land"
"2024-12-19","富寧花園 5座 33樓 B室",335,592,5659,"Land"
"2024-12-06","藝里坊．1號 16樓 D室",548,259,21158,"Land"
"2024-12-16","華敦大廈 A座 7樓 A4室",550,829,6634,"Land"
"2024-12-19","安寧花園 5座 9樓 F室",388,NA,NA,"Land"
"2024-12-13","囍滙 2期 1座 12樓 H室",928,450,20622,"Land"
"2024-11-28","環海．東岸 3樓 J室(T1b)",460,300,15333,"Land"
"2024-12-16","澐璟 1座 15樓 B室",7835.3,1870,41900,"Land"
"2024-12-09","連方 II 25樓 N9室",941.3,348,27049,"Land"
"2024-12-06","連方 II 18樓 N10室",673.8,267,25236,"Land"
"2024-12-13","連方 II 18樓 S5室",1149.6,421,27306,"Land"
"2024-12-06","連方 I 11樓 D室",690.6,266,25962,"Land"
"2024-12-05","嘉熙 1座 18樓 A室",1668,1066,15647,"Land"
"2024-12-05","連方 I 21樓 H室",642.5,232,27694,"Land"
"2024-12-05","連方 I 22樓 H室",648.6,232,27957,"Land"
"2024-12-16","南豐新邨 5座 24樓 B室",460,391,11765,"Land"
"2024-12-13","御龍山 11座 50樓 D室",810,495,16364,"Land"
"2024-12-10","愉景灣 5期頤峰 怡山閣 (4座) 8樓 B室",433,592,7314,"Land"
"2024-12-16","廣發大廈 五樓 E室(268號)",450,NA,NA,"Land"
"2024-12-06","時興大廈 2樓 A室",288,333,8649,"Land"
"2024-12-12","柏傲灣 2B座 18樓 C室",728,497,14648,"Land"
"2024-12-18","浪澄灣 9座 40樓 B室",948,559,16959,"Land"
"2024-12-16","彌敦大廈 八樓 512號(後座)",316,NA,NA,"Land"
"2024-11-29","海日灣II 13座 7樓 A室",1512.9,1022,14803,"Land"
"2024-12-16","天寰 車位 1號 108號",195,NA,NA,"Land"
"2024-12-12","益發大廈 5樓 11室",236,315,7492,"Land"
"2021-04-23","僑英大廈 十五樓 B室",606.1,319,19000,"Land"
"2024-12-10","Wetland Seasons Bay 3期 6B座 9樓 A8室",647.3,444,14579,"Land"
"2019-09-23","僑英大廈 十四樓 C室",638.4,336,19000,"Land"
"2024-12-19","富雅花園 3座 23樓 K室",520,592,8784,"Land"
"2024-12-17","玉山大廈 6樓 A室",330,295,11186,"Land"
"2024-12-10","葵麗大廈 11樓 F室",210,NA,NA,"Land"
"2024-12-16","置富花園 富怡苑 (H-7座) 1樓 H室",413,439,9408,"Land"
"2024-12-12","富家閣 4樓 C室",460,420,10952,"Land"
"2024-12-16","畢架山花園 14座 6樓 D室",1320,1304,10123,"Land"
"2024-12-17","紹恆大廈 五樓 E室",220,NA,NA,"Land"
"2024-12-10","清水灣半島 2期 6座 38樓 C室",548,523,10478,"Land"
"2024-12-23","欣盛苑 欣耀閣 (E座) 高層 4室",406,645,6295,"AC"
"2024-12-23","麗城花園 3期 3座 中層 H室",639.8,728,8788,"AC"
"2024-12-23","德福花園 B座 中層 5室",520,517,10058,"AC"
"2024-12-23","美居中心 2座 高層 D室",373,322,11584,"AC"
"2024-12-23","愉景灣 3期康慧台 康和閣 中層 C室",468,591,7919,"AC"
"2024-12-23","昇柏山 低層 RD室",538,527,10209,"AC"
"2024-12-23","東港城 2座 低層 B室",585,463,12635,"AC"
"2024-12-23","半島豪庭 3座 低層 E室",1066,760,14026,"AC"
"2024-12-23","聚賢居 1座 中層 A室",780,400,19500,"AC"
"2024-12-23","The Austin 3A座 中層 B室",888,419,21193,"AC"
"2024-12-23","德福花園 K座 高層 3室",520,491,10591,"AC"
"2024-12-23","廣明苑 廣寧閣 (F座) 高層 1室",488,634,7697,"AC"
"2024-12-23","日出康城 6期 Lp6 3座 中層 G室",490,378,12963,"AC"
"2024-12-23","新都城 2期 8座 中層 E室",610,441,13832,"AC"
"2024-12-23","旭輝臺 2座 高層 F室",625,639,9781,"AC"
"2024-12-23","寶華軒 高層 C室",1228,566,21696,"AC"
"2024-12-23","錦繡花園 L段第五街",845,848,9965,"AC"
"2024-12-23","滿華樓 中層 6室",268,322,8323,"AC"
"2024-12-23","新都城大廈 高層 20室",455,448,10156,"AC"
"2024-12-23","峻峰花園 C座 高層 6室",595,450,13222,"AC"
"2024-12-23","太古城 海天花園 南天閣 (62座) 中層 D室",1100,715,15385,"AC"
"2024-12-23","藍塘道47-49號 低層 49B室",2000,1255,15936,"AC"
"2024-12-23","君匯港 5座 低層 A室",768,482,15934,"AC"
"2024-12-23","日出康城 10期 LP10 2座 (2B) 中層 C室",642,513,12515,"AC"
"2024-12-23","煜明苑 熹明閣 (C座) 高層 7室",450,435,10345,"AC"
"2024-12-23","The Parkside 1A座 高層 B室",1150,743,15478,"AC"
"2024-12-23","利奧坊．曉岸 1座 中層 E室",330,203,16256,"AC"
"2024-12-23","嘉榮大廈 低層 A室",308,304,10132,"AC"
"2024-12-23","Oasis Kai Tak 5座 高層 A室",999,509,19627,"AC"
"2024-12-23","葵麗大廈 高層 F室",210,307,6840,"AC"
"2024-12-23","維港．星岸 1座 中層 A室",2800,1376,20349,"AC"
"2024-12-23","匯翠台 2座 高層 A室",1060,643,16485,"AC"
"2024-12-23","馬鞍山中心 4座 低層 B室",465,375,12400,"AC"
"2024-12-23","雅景臺 4座 中層 E室",583.8,606,9634,"AC"
"2024-12-23","新葵芳花園 E座 低層 5室",449.8,400,11245,"AC"
"2024-12-23","天頌苑 頌碧閣 (E座) 中層 6室",400,650,6154,"AC"
"2024-12-23","綠楊新邨 J座 低層 7室",450,451,9978,"AC"
"2024-12-23","青華苑 華璇閣 (B座) 高層 1室",285,351,8120,"AC"
"2024-12-23","青華苑 華豐閣 (D座) 低層 8室",295,401,7357,"AC"
"2024-12-23","海欣花園 2座 中層 E室",565,456,12390,"AC"
"2024-12-23","康山花園 6座 低層 D室",465,484,9607,"AC"
"2024-12-23","珀麗灣 3期 21座 低層 C室",723,841,8597,"AC"
"2024-12-23","新港城 5期 海濤居 4座 低層 F室",522,414,12609,"AC"
"2024-12-23","帝后華庭 3座 低層 F室",818,490,16694,"AC"
"2024-12-23","名城 3期 盛世 2座 低層 SA室",980,688,14244,"AC"
"2024-12-23","嘉隆苑 嘉昇閣 (A座) 高層 5室",386.8,401,9646,"AC"
"2024-12-23","環宇海灣 3座 中層 B室",673,491,13707,"AC"
